epoch;batch;time;data;learning_rate;loss;pearson_correlation
0;113;0.277;0.0;5.52e-05;0.81469;0.361
0;114;0.277;0.001;5.57e-05;0.55669;0.364
0;115;0.276;0.001;5.62e-05;0.70929;0.366
0;116;0.275;0.001;5.67e-05;0.72462;0.367
0;117;0.279;0.001;5.71e-05;0.51223;0.37
0;118;0.274;0.001;5.76e-05;0.80399;0.371
0;119;0.276;0.001;5.81e-05;0.74849;0.374
0;120;0.276;0.001;5.86e-05;0.52373;0.377
0;121;0.275;0.0;5.91e-05;0.69839;0.379
0;122;0.267;0.0;5.96e-05;0.90267;0.381
0;123;0.276;0.001;6.01e-05;0.54416;0.384
0;124;0.288;0.001;6.06e-05;1.18485;0.382
0;125;0.272;0.001;6.11e-05;0.80565;0.383
0;126;0.273;0.001;6.16e-05;0.85891;0.383
0;127;0.273;0.001;6.21e-05;0.87006;0.385
0;128;0.276;0.001;6.26e-05;0.7769;0.387
0;129;0.274;0.0;6.31e-05;0.59372;0.389
0;130;0.275;0.001;6.35e-05;0.82083;0.39
0;131;0.277;0.0;6.4e-05;1.16632;0.39
0;132;0.278;0.001;6.45e-05;0.94885;0.391
0;133;0.275;0.001;6.5e-05;0.82395;0.391
0;134;0.276;0.0;6.55e-05;0.75105;0.391
0;135;0.279;0.001;6.6e-05;1.08853;0.391
0;136;0.28;0.001;6.65e-05;0.6492;0.392
0;137;0.278;0.0;6.7e-05;0.85292;0.392
0;138;0.273;0.001;6.75e-05;0.7943;0.393
0;139;0.279;0.001;6.8e-05;0.86534;0.393
0;140;0.278;0.001;6.85e-05;0.64972;0.393
0;141;0.279;0.001;6.9e-05;0.688;0.394
0;142;0.278;0.001;6.95e-05;0.69421;0.394
0;143;0.282;0.001;7e-05;0.73367;0.395
0;144;0.28;0.001;7.04e-05;0.53221;0.397
0;145;0.278;0.001;7.09e-05;0.46523;0.399
0;146;0.278;0.0;7.14e-05;0.59704;0.401
0;147;0.278;0.0;7.19e-05;0.70929;0.401
0;148;0.275;0.001;7.24e-05;0.5577;0.403
0;149;0.274;0.001;7.29e-05;0.74796;0.404
0;150;0.277;0.001;7.34e-05;0.75242;0.405
0;151;0.277;0.001;7.39e-05;0.60773;0.408
0;152;0.277;0.001;7.44e-05;0.87789;0.409
0;153;0.279;0.0;7.49e-05;0.79285;0.409
0;154;0.278;0.0;7.54e-05;0.5172;0.411
0;155;0.274;0.001;7.59e-05;0.53199;0.412
0;156;0.276;0.001;7.64e-05;0.64274;0.413
0;157;0.279;0.001;7.68e-05;0.89488;0.414
0;158;0.281;0.001;7.73e-05;0.71339;0.416
0;159;0.278;0.001;7.78e-05;0.89346;0.416
0;160;0.277;0.001;7.83e-05;0.56473;0.418
0;161;0.277;0.0;7.88e-05;0.52963;0.419
0;162;0.278;0.001;7.93e-05;0.78565;0.42
0;163;0.275;0.001;7.98e-05;0.94614;0.419
0;164;0.279;0.0;8.03e-05;0.84924;0.42
0;165;0.275;0.001;8.08e-05;0.90128;0.419
0;166;0.28;0.001;8.13e-05;0.85037;0.419
0;167;0.279;0.001;8.18e-05;0.60976;0.42
0;168;0.28;0.001;8.23e-05;0.76251;0.42
0;169;0.28;0.0;8.28e-05;0.78822;0.42
0;170;0.279;0.001;8.33e-05;0.69184;0.421
0;171;0.278;0.001;8.37e-05;0.81253;0.421
0;172;0.277;0.0;8.42e-05;0.9623;0.421
0;173;0.279;0.001;8.47e-05;0.49857;0.423
0;174;0.278;0.001;8.52e-05;0.62826;0.425
0;175;0.275;0.001;8.57e-05;0.75545;0.426
0;176;0.271;0.001;8.62e-05;0.75732;0.426
0;177;0.279;0.0;8.67e-05;0.81198;0.427
0;178;0.277;0.001;8.72e-05;0.43159;0.43
0;179;0.277;0.001;8.77e-05;0.73179;0.431
0;180;0.274;0.001;8.82e-05;0.8096;0.431
0;181;0.277;0.001;8.87e-05;0.52796;0.433
0;182;0.276;0.001;8.92e-05;0.7958;0.433
0;183;0.279;0.0;8.97e-05;0.55245;0.436
0;184;0.277;0.001;9.01e-05;0.5712;0.437
0;185;0.275;0.001;9.06e-05;0.41855;0.439
0;186;0.276;0.001;9.11e-05;0.88497;0.438
0;187;0.275;0.001;9.16e-05;0.534;0.44
0;188;0.277;0.001;9.21e-05;0.63666;0.441
0;189;0.28;0.0;9.26e-05;1.02846;0.441
0;190;0.278;0.001;9.31e-05;0.59919;0.441
0;191;0.278;0.001;9.36e-05;0.5755;0.442
0;192;0.28;0.0;9.41e-05;0.64246;0.443
0;193;0.277;0.001;9.46e-05;0.75786;0.444
0;194;0.279;0.0;9.51e-05;0.64002;0.444
0;195;0.277;0.001;9.56e-05;0.72288;0.445
0;196;0.279;0.001;9.61e-05;0.47434;0.447
0;197;0.277;0.001;9.66e-05;0.60417;0.447
0;198;0.28;0.001;9.7e-05;0.55674;0.449
0;199;0.277;0.001;9.75e-05;1.03678;0.448
0;200;0.269;0.001;9.8e-05;0.42455;0.45
0;201;0.286;0.0;9.85e-05;0.68056;0.451
0;202;0.265;0.0;9.9e-05;0.99807;0.449
1;0;0.154;0.035;9.95e-05;0.61612;0.494
1;1;0.268;0.001;5e-07;0.72188;0.543
1;2;0.276;0.001;1e-06;0.76636;0.535
1;3;0.284;0.001;1.5e-06;0.65154;0.523
1;4;0.291;0.001;2e-06;0.6531;0.553
1;5;0.274;0.001;2.5e-06;0.57028;0.541
1;6;0.277;0.001;3e-06;0.95487;0.531
1;7;0.284;0.0;3.4e-06;0.6277;0.553
1;8;0.281;0.001;3.9e-06;0.55222;0.553
1;9;0.279;0.0;4.4e-06;0.51567;0.563
1;10;0.283;0.001;4.9e-06;0.77327;0.559
1;11;0.283;0.001;5.4e-06;0.55634;0.558
1;12;0.278;0.0;5.9e-06;0.65448;0.561
1;13;0.278;0.001;6.4e-06;0.76474;0.558
1;14;0.281;0.001;6.9e-06;0.67385;0.557
