epoch;batch;time;loss;pearson_correlation
6;7;0.109;0.36723;0.602
6;8;0.107;0.51046;0.611
6;9;0.11;0.54207;0.616
6;10;0.105;0.61131;0.617
6;11;0.107;0.9859;0.605
6;12;0.105;0.68952;0.603
6;13;0.106;0.69014;0.606
6;14;0.106;0.57857;0.611
6;15;0.108;0.56339;0.618
6;16;0.108;0.76134;0.614
6;17;0.11;1.00227;0.609
6;18;0.108;0.86267;0.606
6;19;0.106;0.85722;0.605
6;20;0.108;0.48936;0.613
6;21;0.105;0.48657;0.616
6;22;0.106;0.56141;0.62
6;23;0.108;0.38423;0.631
6;24;0.106;0.7103;0.632
6;25;0.041;1.07818;0.628
7;0;0.221;0.85527;0.628
7;1;0.106;0.93867;0.593
7;2;0.108;0.49915;0.621
7;3;0.107;1.14876;0.561
7;4;0.107;0.84815;0.554
7;5;0.108;0.55945;0.581
7;6;0.107;1.01057;0.563
7;7;0.109;0.54737;0.568
7;8;0.109;0.52853;0.582
7;9;0.106;0.62781;0.582
7;10;0.104;0.63835;0.586
7;11;0.108;1.06094;0.571
7;12;0.107;0.61781;0.576
7;13;0.107;0.69519;0.581
7;14;0.111;0.6512;0.585
7;15;0.107;0.61487;0.592
7;16;0.109;0.54163;0.597
7;17;0.109;0.76507;0.598
7;18;0.106;0.90646;0.596
7;19;0.109;0.70106;0.599
7;20;0.106;0.54256;0.606
7;21;0.106;0.71607;0.605
7;22;0.109;0.77179;0.604
7;23;0.107;0.4038;0.615
7;24;0.108;0.57719;0.618
7;25;0.043;1.10506;0.615
8;0;0.223;0.84166;0.594
8;1;0.101;0.86267;0.588
8;2;0.107;0.28718;0.657
8;3;0.107;0.92407;0.614
8;4;0.106;0.94207;0.587
8;5;0.107;0.51309;0.611
8;6;0.105;1.19328;0.571
8;7;0.109;0.40342;0.585
8;8;0.107;0.45208;0.602
8;9;0.106;0.4552;0.61
8;10;0.106;0.64402;0.612
8;11;0.106;1.08901;0.593
8;12;0.108;0.64739;0.595
8;13;0.107;0.58643;0.603
8;14;0.106;0.70518;0.604
8;15;0.107;0.66856;0.608
8;16;0.107;0.48625;0.615
8;17;0.105;0.59611;0.62
8;18;0.108;0.95108;0.614
8;19;0.106;0.73119;0.616
8;20;0.105;0.53608;0.622
8;21;0.108;0.73226;0.619
8;22;0.106;0.95259;0.613
8;23;0.106;0.56542;0.62
8;24;0.108;0.69874;0.62
8;25;0.042;0.94314;0.618
9;0;0.222;0.96099;0.542
9;1;0.105;0.73629;0.596
9;2;0.107;0.35742;0.654
9;3;0.106;0.86173;0.619
9;4;0.106;1.12234;0.571
9;5;0.108;0.55784;0.594
9;6;0.108;1.25727;0.555
9;7;0.108;0.35127;0.573
9;8;0.105;0.43801;0.593
9;9;0.108;0.51933;0.601
9;10;0.107;0.74625;0.599
9;11;0.105;1.04943;0.583
9;12;0.106;0.71099;0.583
