epoch;batch;time;loss;pearson_correlation
6;7;0.207;0.56151;0.441
6;8;0.206;0.53961;0.469
6;9;0.201;0.61856;0.469
6;10;0.198;0.52454;0.482
6;11;0.2;0.8237;0.476
6;12;0.207;0.60229;0.484
6;13;0.204;0.64701;0.502
6;14;0.2;0.70862;0.502
6;15;0.199;0.8264;0.5
6;16;0.201;0.68359;0.498
6;17;0.206;0.87965;0.502
6;18;0.203;0.92786;0.499
6;19;0.201;0.82463;0.503
6;20;0.201;0.67197;0.513
6;21;0.201;0.6019;0.512
6;22;0.205;0.82731;0.508
6;23;0.204;1.02149;0.509
6;24;0.204;0.94907;0.505
6;25;0.084;0.74323;0.503
7;0;0.528;0.86504;0.627
7;1;0.202;0.86023;0.624
7;2;0.205;0.58484;0.618
7;3;0.208;0.74352;0.588
7;4;0.203;0.8856;0.536
7;5;0.205;0.86645;0.519
7;6;0.202;0.97197;0.476
7;7;0.202;0.55038;0.465
7;8;0.206;0.50061;0.493
7;9;0.203;0.59675;0.493
7;10;0.205;0.48541;0.506
7;11;0.204;0.82224;0.498
7;12;0.206;0.57373;0.506
7;13;0.206;0.59416;0.525
7;14;0.203;0.67679;0.525
7;15;0.202;0.79567;0.524
7;16;0.201;0.66562;0.522
7;17;0.204;0.86112;0.526
7;18;0.204;0.88901;0.523
7;19;0.202;0.78603;0.527
7;20;0.203;0.61251;0.537
7;21;0.203;0.58147;0.536
7;22;0.208;0.81772;0.532
7;23;0.208;0.97049;0.533
7;24;0.202;0.92281;0.53
7;25;0.082;0.68864;0.529
8;0;0.525;0.85433;0.637
8;1;0.207;0.81561;0.638
8;2;0.208;0.55234;0.634
8;3;0.206;0.71545;0.607
8;4;0.203;0.85711;0.562
8;5;0.204;0.85642;0.542
8;6;0.206;0.98385;0.498
8;7;0.21;0.53393;0.488
8;8;0.205;0.46445;0.515
8;9;0.202;0.5805;0.516
8;10;0.2;0.4564;0.528
8;11;0.203;0.8251;0.519
8;12;0.205;0.54584;0.526
8;13;0.207;0.54052;0.545
8;14;0.205;0.64752;0.546
8;15;0.204;0.76345;0.546
8;16;0.204;0.64893;0.544
8;17;0.205;0.84357;0.547
8;18;0.204;0.84888;0.545
8;19;0.203;0.74406;0.549
8;20;0.203;0.55187;0.559
8;21;0.206;0.55853;0.558
8;22;0.209;0.80538;0.555
8;23;0.204;0.9084;0.557
8;24;0.204;0.89767;0.553
8;25;0.081;0.643;0.553
9;0;0.524;0.8741;0.646
9;1;0.201;0.80038;0.652
9;2;0.203;0.534;0.649
9;3;0.203;0.69756;0.626
9;4;0.203;0.82733;0.586
