epoch;batch;time;data;learning_rate;loss;pearson_correlation
0;122;0.597;0.0;6e-07;1.28922;0.046
0;123;0.6;0.0;6e-07;0.75077;0.05
0;124;0.604;0.001;6e-07;0.9329;0.05
0;125;0.601;0.0;6e-07;1.38944;0.05
0;126;0.598;0.0;6e-07;0.90454;0.052
0;127;0.602;0.0;6e-07;0.94791;0.053
0;128;0.602;0.0;6e-07;1.01711;0.054
0;129;0.61;0.0;6e-07;1.15911;0.055
0;130;0.598;0.001;6e-07;1.21862;0.053
0;131;0.604;0.001;6e-07;0.77467;0.054
0;132;0.6;0.0;6e-07;1.03798;0.055
0;133;0.607;0.0;7e-07;0.82699;0.056
0;134;0.597;0.0;7e-07;0.96967;0.056
0;135;0.605;0.001;7e-07;1.09883;0.055
0;136;0.601;0.0;7e-07;0.67254;0.056
0;137;0.613;0.0;7e-07;1.02615;0.058
0;138;0.601;0.001;7e-07;1.22359;0.058
0;139;0.606;0.001;7e-07;1.12849;0.057
0;140;0.61;0.001;7e-07;1.1588;0.057
0;141;0.604;0.0;7e-07;1.03597;0.059
0;142;0.608;0.0;7e-07;1.16255;0.058
0;143;0.613;0.0;7e-07;0.94555;0.059
0;144;0.602;0.001;7e-07;1.44829;0.059
0;145;0.608;0.0;7e-07;0.88937;0.061
0;146;0.607;0.0;7e-07;0.80456;0.063
0;147;0.607;0.0;7e-07;1.55885;0.063
0;148;0.605;0.001;7e-07;0.79693;0.066
0;149;0.61;0.001;7e-07;1.27767;0.064
0;150;0.612;0.001;7e-07;0.74589;0.065
0;151;0.61;0.001;7e-07;1.13775;0.064
0;152;0.608;0.0;7e-07;0.79676;0.066
0;153;0.608;0.0;7e-07;1.25213;0.065
0;154;0.612;0.0;8e-07;1.31502;0.063
0;155;0.606;0.001;8e-07;1.31138;0.062
0;156;0.614;0.0;8e-07;0.85029;0.062
0;157;0.61;0.0;8e-07;1.09468;0.063
0;158;0.612;0.001;8e-07;1.06833;0.064
0;159;0.607;0.0;8e-07;1.10574;0.064
0;160;0.613;0.001;8e-07;1.05018;0.065
0;161;0.613;0.001;8e-07;1.041;0.066
